timestamp,ax,ay,az,yaw,pitch,roll,fx,fy,fz,gx,gy,gz,mx,my,mz
115052516,12595,-1304,3562,653,71,-930,-7142,1514,9180,871,-56,-48,875,171,-10
115072516,15808,-3005,2474,636,73,-923,-754,-1896,6486,1188,-352,-125,865,183,-59
115092516,14618,-3382,-29,617,75,-918,-3140,-2562,1036,1316,-433,-132,855,195,-51
115112516,14177,-3739,-1834,599,76,-917,-4022,-3244,-2750,1192,-282,-8,853,213,-51
115132516,13840,-430,1524,584,71,-914,-4702,3310,3994,1069,-162,152,849,227,-67
115152516,17003,-57,6280,568,63,-903,1556,3616,13120,1209,-407,362,853,219,-66
115172516,21346,-1308,10397,550,55,-887,10178,584,20534,1249,-664,490,839,209,-75
115192516,30443,-8878,12301,536,50,-872,28348,-15052,23370,967,-724,561,815,211,-83
115212516,32764,-2256,9699,532,41,-853,-32508,-2108,16992,273,-1037,570,789,203,-71
115232516,32764,-1998,1734,530,31,-832,-32412,-2194,-404,31,-1530,706,789,201,-117
115252516,32764,-5616,-8615,527,27,-815,-32250,-9766,-22424,86,-1677,401,773,193,-135
115272516,29271,-6914,-14713,527,25,-792,26542,-12514,29444,-88,-2289,284,761,187,-184
115292516,20971,-6320,-12621,531,23,-763,10310,-11490,31972,-407,-2770,293,721,171,-200
115312516,18008,-9909,-12762,535,26,-743,4708,-18644,30566,-393,-2181,100,711,169,-230
115332516,16415,-3327,-8704,545,25,-729,1770,-5330,-27602,-852,-1720,-8,655,157,-285